Date,APTECHT.NS,ATFL.NS,FORTIS.NS,MCX.NS,TATACOMM.NS,TITAN.NS,TV18BRDCST.NS
05-11-2018,160.600006,529.349976,140.350006,707.599976,513.349976,847.650024,38.349998
12-11-2018,158.199997,522.700012,146.5,703.25,548.450012,921.349976,36.900002
19-11-2018,156.050003,525.799988,146.399994,698.900024,527.549988,915.75,35.150002
26-11-2018,174.800003,560.349976,147.699997,734.099976,538.049988,927.099976,35.900002
03-12-2018,167.199997,568.799988,147.100006,711.849976,521.900024,916.599976,34.049999
10-12-2018,182.350006,589.299988,141.449997,723.950012,532.599976,931.5,36
17-12-2018,190.350006,586.599976,134.949997,720,520.549988,900.049988,36.549999
24-12-2018,191.850006,580.950012,137.399994,733.349976,522.200012,922.700012,38.349998
31-12-2018,185.350006,612.049988,140.300003,725.400024,531.450012,928.450012,37.450001
07-01-2019,199.800003,603.400024,139.899994,754.25,516.700012,959.299988,37.950001
14-01-2019,193.199997,604.400024,135.5,742.200012,520.049988,960.950012,34.049999
21-01-2019,175.75,573.450012,135.399994,710.450012,493.149994,978,32.549999
28-01-2019,171.5,577.900024,135.199997,712.549988,498.950012,991.549988,32.599998
04-02-2019,162.550003,582.25,135.050003,692.25,490.700012,1053.25,32.049999
11-02-2019,156.449997,574.849976,134.949997,667.799988,496.350006,1039,31.15
18-02-2019,164.649994,567.150024,135.600006,677.650024,535.150024,1041.599976,33.200001
25-02-2019,172.550003,573.799988,134.75,676.200012,593.450012,1021.349976,35.549999
04-03-2019,176.199997,582.099976,134.949997,727.700012,612.599976,1053.199951,35.849998
11-03-2019,171.699997,579.349976,137.800003,785.450012,608.849976,1097.25,35.599998
18-03-2019,178.449997,575.450012,136.350006,794.599976,600.299988,1102.550049,34.599998
25-03-2019,177.800003,596.900024,135.75,806.599976,612.75,1141.849976,35.5
01-04-2019,176,580.099976,136.75,775.549988,603.549988,1106.400024,35.200001
08-04-2019,176.100006,586.549988,138.75,797.450012,582.849976,1097,38.599998
15-04-2019,169.75,581,140.399994,780.5,572.299988,1125.400024,34.5
22-04-2019,164.899994,579.900024,139.100006,839.200012,564.150024,1137.5,32.450001
29-04-2019,156.350006,564.049988,137.75,850.950012,552,1145.050049,31.35
06-05-2019,144.600006,533.200012,131.899994,818.75,557.849976,1132.099976,29.4
13-05-2019,129.350006,541.950012,126.900002,830.849976,553.049988,1190.5,27.200001
20-05-2019,147.350006,543.599976,125.449997,844.950012,550.049988,1219.900024,30.299999
27-05-2019,157.899994,530.200012,125.300003,810.25,541,1235.75,27.9
03-06-2019,151.300003,541.450012,122.449997,803.5,524.799988,1268.949951,27.25
10-06-2019,147.100006,518.299988,131,793.400024,493.549988,1281.900024,27.15
17-06-2019,137.350006,499.350006,129.199997,800.950012,486.799988,1292.349976,25
24-06-2019,144.25,501.5,130.100006,831.849976,484.950012,1334.699951,24.25
01-07-2019,140.800003,503.649994,132.699997,848.049988,461.350006,1278.099976,23.85
08-07-2019,135.449997,496.149994,128.899994,831.950012,490.850006,1101.199951,23.15
15-07-2019,121.800003,482.299988,129.600006,856.200012,472.149994,1091.050049,21.799999
22-07-2019,128.5,503.100006,124.949997,844.849976,496.25,1106.400024,22.4
29-07-2019,122.5,500.649994,117.949997,805.950012,467.950012,1064.699951,21.15
05-08-2019,134.300003,495,121.75,845.599976,462.899994,1067,20.5
12-08-2019,126.449997,482.5,125.449997,850.349976,441.899994,1075.800049,20.950001
19-08-2019,124.849998,487.049988,121.349998,849.599976,421.450012,1073.5,19.4
26-08-2019,126.5,500.5,124.150002,977.5,430.350006,1105.099976,20.4
02-09-2019,124.25,480.299988,126.949997,885.25,419.899994,1068.699951,20.85
09-09-2019,148.399994,488,124.699997,945,427.950012,1123.400024,21.700001
16-09-2019,146.25,487.299988,129.399994,925.349976,322.049988,1263.550049,23.200001
23-09-2019,157,497.5,136.600006,1008.25,370.100006,1284.050049,24.1
30-09-2019,150.199997,489.450012,139.699997,936.549988,365.850006,1250.900024,23.9
07-10-2019,151.25,480.899994,138,1003.900024,353.700012,1243.599976,22
14-10-2019,165.800003,502.700012,138.25,1068.849976,359.700012,1300.599976,20.35
21-10-2019,161.699997,607.299988,139.149994,1145.400024,355.549988,1319.900024,23.950001
28-10-2019,171.649994,636.349976,150.850006,1187,359.850006,1301.900024,25.700001
04-11-2019,171.149994,623.599976,152.050003,1107.150024,372.100006,1156.75,23.299999
11-11-2019,158.949997,566.25,143.800003,1150.300049,353.450012,1158.449951,22.85
18-11-2019,158,580.049988,145.550003,1143.5,361.899994,1135.599976,23.799999
25-11-2019,163.649994,598.650024,138.75,1176.400024,445.149994,1159.699951,24.4
02-12-2019,151.449997,610.450012,137.25,1138.400024,395.350006,1172,22
09-12-2019,154.899994,623.299988,136.25,1112.199951,392.950012,1186.150024,22.25
16-12-2019,164.100006,633.200012,135.300003,1147,386.799988,1201.900024,22
23-12-2019,163.25,642.700012,131.350006,1186.550049,391.200012,1191.449951,21.200001
30-12-2019,166.649994,675.849976,135.050003,1237.550049,420.75,1139.699951,21.950001
06-01-2020,173.25,646.450012,137.899994,1356.050049,406.649994,1154.050049,22.25
13-01-2020,173.550003,710.75,141.649994,1377.75,435.799988,1188.75,27.35
20-01-2020,177.149994,695.400024,153.199997,1364.400024,453.200012,1227.849976,26.65
27-01-2020,156.899994,696.400024,151.550003,1201.75,406.950012,1173.25,24.049999
03-02-2020,155.399994,701.849976,163.649994,1263.650024,413.399994,1275,26.299999
10-02-2020,151.899994,704.25,156.100006,1272.949951,390.399994,1293.449951,25.85
17-02-2020,143.100006,700.849976,156.300003,1357.550049,391.850006,1322.849976,26.85
24-02-2020,117.599998,640.599976,154.050003,1277.75,360.899994,1254.5,22.549999
02-03-2020,108.699997,641.400024,149.300003,1301.849976,341.549988,1242.599976,20.85
09-03-2020,90.300003,502.200012,138.699997,1124.599976,250.550003,1084.349976,17.200001
16-03-2020,84.400002,430.75,131.899994,1039.949951,236.5,904.900024,14.7
23-03-2020,78,411.399994,128.949997,1035.800049,229.550003,937.049988,13.65
30-03-2020,80,432.200012,122.150002,986.900024,235.100006,862.799988,14.15
06-04-2020,83.699997,491.950012,127.150002,998.700012,287.649994,1013.849976,16
13-04-2020,85,496.75,118.050003,1111,370.799988,975.5,16.65
20-04-2020,103,474.5,121.449997,1073.449951,369.950012,906.049988,19.700001
27-04-2020,103.599998,477.450012,127,1067.599976,430.549988,970.049988,19.5
04-05-2020,102.75,454.100006,125.050003,1121.050049,415,832.849976,19.6
11-05-2020,102,491.549988,117.25,1156.699951,451.200012,845.599976,21.5
18-05-2020,97.699997,469.549988,114.150002,1130.699951,498.350006,849.650024,21.35
25-05-2020,98.150002,488,115.650002,1328.050049,476.700012,890,20.75
01-06-2020,102.599998,509.049988,117.650002,1210.349976,469.549988,990.950012,24.65
08-06-2020,100.349998,503.700012,120.199997,1214.699951,485.299988,977.700012,29.450001
15-06-2020,101.550003,523,122.400002,1274,589.450012,975.849976,37.549999
22-06-2020,102.199997,519.650024,123.349998,1239.75,589.549988,966.200012,35.5
29-06-2020,99.199997,539.099976,126.75,1286.400024,621.5,1003.5,35.049999
06-07-2020,110.349998,527.25,121.400002,1324.599976,634.299988,961.849976,34.950001
13-07-2020,109.550003,523,128.550003,1345.099976,668.75,997.849976,35.700001
20-07-2020,113.849998,625.349976,135.199997,1504.599976,636.150024,1057.599976,36.200001
27-07-2020,109.599998,593.900024,138,1686.400024,759.75,1043.25,33.349998
03-08-2020,110.099998,678,138,1671.599976,814.200012,1091.050049,33.900002
10-08-2020,111.650002,676.849976,135.399994,1657.800049,813.400024,1104.150024,33.049999
17-08-2020,130.550003,644.150024,137.600006,1712.300049,890.299988,1138.099976,35.049999
24-08-2020,133.550003,743.5,133.149994,1693,871.650024,1134.099976,33.75
31-08-2020,122.5,708.450012,133.100006,1606.5,907.25,1159.25,30.200001
07-09-2020,125.75,720.099976,135.25,1554.849976,863.099976,1167.75,30.5
14-09-2020,125.050003,705.599976,132.949997,1743.550049,849.25,1163.599976,32.200001
21-09-2020,113.199997,689,137.149994,1636.75,819.349976,1109.349976,28.85
28-09-2020,119.099998,699.950012,135.300003,1742.400024,838.349976,1198.650024,28.700001
05-10-2020,124.199997,700.099976,133.600006,1716.5,860.200012,1255.199951,30.1
12-10-2020,117.050003,700.25,127.050003,1741.199951,875.650024,1223.150024,28.549999
19-10-2020,116.349998,721.200012,126.599998,1800.050049,919,1241.699951,30.049999
26-10-2020,115.050003,714.049988,125.599998,1701,933.299988,1165.75,28.75
02-11-2020,113.400002,717.849976,128.949997,1728.25,994.799988,1253.5,27.950001
09-11-2020,121.150002,719.450012,143.449997,1683.599976,1019.799988,1286.800049,28.950001
16-11-2020,123.199997,712.25,139.199997,1610.050049,1034.650024,1365.150024,30.049999
23-11-2020,121.449997,722.25,150.899994,1614.949951,1061.550049,1361.199951,29.700001
30-11-2020,122.300003,767.75,142.199997,1566.050049,1014.200012,1437.150024,32.700001
07-12-2020,131.949997,785.849976,152.149994,1668,1036.449951,1442.400024,31.200001
14-12-2020,147.899994,845.799988,158.850006,1703.25,999.200012,1519.349976,32.150002
21-12-2020,153.649994,816.849976,154.050003,1731.699951,1070.900024,1495.900024,31.15
28-12-2020,156.699997,877.5,156,1748.25,1094.599976,1558.599976,31.1
04-01-2021,150.449997,849.799988,179.399994,1715.449951,1061.25,1548.599976,31.450001
11-01-2021,167.199997,821.700012,166.350006,1676.25,1096.099976,1477.25,31.200001
18-01-2021,168.699997,815.799988,165.699997,1674.800049,1032.5,1491.199951,29.299999
25-01-2021,179.149994,809.799988,161.550003,1643.449951,1006,1420.300049,28
01-02-2021,216,841.599976,167.5,1585.25,1036.849976,1509.449951,30.049999
08-02-2021,235.899994,841.099976,165.449997,1564.599976,1014.349976,1494.199951,30
15-02-2021,236.399994,852.950012,158.850006,1501.400024,1002.950012,1425.550049,30
22-02-2021,219.399994,807.549988,158.350006,1511.849976,1081.699951,1406.900024,29.049999
01-03-2021,221.300003,830.75,177.399994,1508.599976,1251,1474.199951,34
08-03-2021,218.100006,821.950012,180.050003,1522.25,1291.75,1482.5,35.150002
15-03-2021,206.199997,809.450012,192.399994,1604.75,1175.199951,1465.449951,31.200001
22-03-2021,192.899994,785.700012,198.550003,1567.849976,1117.849976,1505.849976,29.549999
29-03-2021,222.949997,833.25,202.25,1518.050049,1122.900024,1559.349976,29.200001
05-04-2021,213.649994,849.900024,207.949997,1516.5,1115.449951,1592,28.950001
12-04-2021,197.699997,831.25,203.649994,1494.849976,1108.599976,1549.050049,28.15
19-04-2021,200.550003,830.349976,207.800003,1459.050049,1139.400024,1461.449951,34.049999
26-04-2021,204,841.900024,210.699997,1476.25,1100.199951,1491.650024,33.950001
03-05-2021,202.899994,970.599976,232.899994,1501.650024,1087.449951,1446.5,36.099998
10-05-2021,214.649994,963.549988,221.850006,1517.550049,1084.150024,1455.849976,36.099998
17-05-2021,212.300003,964.950012,227.5,1626.849976,1067.900024,1538.349976,40.450001
24-05-2021,207.699997,980.049988,230.100006,1549.75,1049.099976,1577,42.400002
31-05-2021,236.050003,976.25,226.949997,1575.25,1141,1679.5,42.299999
07-06-2021,247,979.049988,233,1568,1287,1728.449951,46
14-06-2021,,,,,,,
14-06-2021,240.550003,976.599976,234.300003,1554.75,1336.699951,1734.800049,45.700001
